Id,Name,Description,Source,Properties
chilli,Chilli,"This is your offensive ingredient and has the following effects on your recipes:

Honey - Chilli grants {attack-speed}% Attack Speed and a heal based on your Honey level.
Chilli - Chilli grants an on-hit effect that deals <damage>{impact-damage}</> and applies a burn that deals <damage>{dot-damage}</> per second.
Chilli - Garlic grants {cooldown-reduction}% Cooldown Reduction as well as granting a Movement Speed buff based on your Garlic level.

Cooldown: <time>{cooldown} seconds</>",chef-support,"{""attack-speed"":[{""Time"":1,""Value"":20},{""Time"":2,""Value"":22},{""Time"":3,""Value"":25},{""Time"":4,""Value"":27},{""Time"":5,""Value"":30},{""Time"":6,""Value"":30}],""cooldown"":[{""Time"":1,""Value"":4},{""Time"":6,""Value"":4}],""cooldown-reduction"":[{""Time"":1,""Value"":20},{""Time"":2,""Value"":22},{""Time"":3,""Value"":25},{""Time"":4,""Value"":27},{""Time"":5,""Value"":30},{""Time"":6,""Value"":30}]}"
garlic,Garlic,"This is your defensive ingredient and has the following effect on your recipes:

Honey - Garlic grants {resistances} Armor and {resistances} Spell Resistance for {duration} and heals the player every 0.5 seconds based on your Honey level.
Chilli - Garlic grants {movementspeed}% Movement Speed and cooldown reduction based on your Chilli Level.
Garlic - Garlic grants {shield} Overshield.

Cooldown: <time>{cooldown} second</>",chef-support,"{""cooldown"":[{""Time"":1,""Value"":4},{""Time"":6,""Value"":4}],""duration"":[{""Time"":1,""Value"":3},{""Time"":6,""Value"":3}],""movementspeed"":[{""Time"":1,""Value"":20},{""Time"":2,""Value"":22},{""Time"":3,""Value"":25},{""Time"":4,""Value"":27},{""Time"":5,""Value"":30},{""Time"":6,""Value"":30}],""resistances"":[{""Time"":1,""Value"":5},{""Time"":6,""Value"":30}],""shield"":[{""Time"":1,""Value"":200},{""Time"":6,""Value"":1200}]}"
honey,Honey,"This is your healing ingredient and has the following effects on your recipes:

Honey - Honey heals the player instantly for <healing>{qq-heal}</> health.
Honey - Chilli heals the player instantly for <healing>{qw-heal}</> as well as providing attack speed based on your Chilli level.
Honey - Garlic heals the player for <healing>{qe-heal}</> health every 0.5 seconds as well as providing Armor and Spell Resistance based on your Garlic level.

Cooldown: <time>{cooldown} seconds</>",chef-support,"{""cooldown"":[{""Time"":1,""Value"":4},{""Time"":6,""Value"":4}]}"
family-style,Family Style,"Activate instead of Serve while cooking to present a feast to your team which allows all players to take a piece and doubles the effepower of the granted effect.

Cooldown: {cooldown} seconds",chef-support,"{""cooldown"":[{""Time"":1,""Value"":60},{""Time"":3,""Value"":30},{""Time"":6,""Value"":30}]}"
serve,Passive: Serve & Hot Pan,"Activate with D to serve your food on a target location. Food can be served after two ingredients have been added to the pot. Every 0.5 seconds, the food increases in strength by 25%. After 1.5 seconds, the food burns, reducing its effectiveness by 50% and is automatically served to the closest ally in range.

After cooking a meal, your next basic attack will deal <damage>{damage} Magical Damage</> as you strike with a hot pan.",chef-support,"{""attack-speed"":[{""Time"":1,""Value"":20},{""Time"":2,""Value"":22},{""Time"":3,""Value"":25},{""Time"":4,""Value"":27},{""Time"":5,""Value"":30},{""Time"":6,""Value"":30}],""cooldown"":[{""Time"":1,""Value"":4},{""Time"":6,""Value"":4}],""cooldown-reduction"":[{""Time"":1,""Value"":20},{""Time"":2,""Value"":22},{""Time"":3,""Value"":25},{""Time"":4,""Value"":27},{""Time"":5,""Value"":30},{""Time"":6,""Value"":30}]}"
form-change,Passive: Form Change,"Change between Water and Lightning forms, altering the effects of your abilities.

While in Water form your Mana regenerates {mana-regen}% faster.

Cooldown: 2 seconds.",control-mage,"{""mana-regen"":[{""Time"":1,""Value"":50},{""Time"":6,""Value"":50}]}"
bubble-lightning,UnknownNameProperty,UnknownDescriptionProperty,control-mage,
ground-rune-lightning,UnknownNameProperty,UnknownDescriptionProperty,control-mage,
ground-rune-lightning-electrical-storm,UnknownNameProperty,UnknownDescriptionProperty,control-mage,
storm,Storm,"Send out a cloud that floats towards a target location and slows down as it approaches nears the max distance.

Every 0.5 seconds, the cloud zaps a nearby enemy, dealing <damage-sp>{damage} Magic Damage</> and applying additional effects depending on the type of cloud.

Enemies that make contact with the cloud also take damage and additional effects.

WATER: Shred <spellresist>{spellresistshred} Spell Resistance</> from enemies hit.
LIGHTNING: Shred <defense>{armorshred} Armor</> from enemies hit.

Cloud Duration: <time>{duration} seconds</>
Cooldown: <time>{cooldown1}.{cooldown2} seconds</>",control-mage,"{""armorshred"":[{""Time"":1,""Value"":-3},{""Time"":4,""Value"":-9},{""Time"":5,""Value"":-12},{""Time"":6,""Value"":-10}],""cooldown1"":[{""Time"":1,""Value"":9},{""Time"":2,""Value"":7},{""Time"":6,""Value"":3}],""cooldown2"":[{""Time"":1,""Value"":0},{""Time"":6,""Value"":0}],""duration"":[{""Time"":1,""Value"":4},{""Time"":5,""Value"":8},{""Time"":6,""Value"":10}],""slow"":[{""Time"":1,""Value"":10},{""Time"":6,""Value"":20}],""spellresistshred"":[{""Time"":1,""Value"":-3},{""Time"":4,""Value"":-9},{""Time"":5,""Value"":-12},{""Time"":6,""Value"":-10}]}"
storm-lightning,UnknownNameProperty,UnknownDescriptionProperty,control-mage,
tsunami,Tsunami,"Release a giant wave that washes enemies away with it. At the end of the wave, unleash a blast dealing <damage-sp>{damage} Magic Damage</>.

Cooldown: <time>{cooldown} seconds</>",control-mage,"{""cooldown"":[{""Time"":1,""Value"":160},{""Time"":2,""Value"":120},{""Time"":4,""Value"":80},{""Time"":5,""Value"":80},{""Time"":6,""Value"":70}],""slow"":[{""Time"":1,""Value"":40},{""Time"":6,""Value"":90}],""stun"":[{""Time"":1,""Value"":3},{""Time"":6,""Value"":8}],""waterroot2"":[{""Time"":1,""Value"":0},{""Time"":5,""Value"":8},{""Time"":6,""Value"":0}]}"
bubble,Bubble,"Throw a bubble that flies to the target location before returning.

WATER: For allies hit, grants a shield which blocks {watershield} damage for 2 seconds.
LIGHTNING: Deal <damage-sp>{lightningdamage} Magic Damage</> to enemies hit.

Cooldown: <time>{cooldown} seconds</>",control-mage,"{""cooldown"":[{""Time"":1,""Value"":9},{""Time"":5,""Value"":5},{""Time"":6,""Value"":6}]}"
ground-rune,Ground Rune,"Place a rune on the ground that detonates after 3 seconds.

WATER: Enemies in the area are slowed and take <damage-sp>{waterdamage} Magic Damage</> on detonation.
LIGHTNING: Enemies take <damage-sp>{lightningdamage} Magic Damage</> on detonation.

Cooldown: <time>{cooldown} seconds</>",control-mage,"{""cooldown"":[{""Time"":1,""Value"":10},{""Time"":6,""Value"":5}],""lightning-debuff"":[{""Time"":1,""Value"":110},{""Time"":6,""Value"":110}],""waterroot1"":[{""Time"":1,""Value"":2},{""Time"":5,""Value"":2},{""Time"":6,""Value"":3}],""waterroot2"":[{""Time"":1,""Value"":0},{""Time"":5,""Value"":8},{""Time"":6,""Value"":0}]}"
ground-rune-perfect-conditions,Ground Rune,Place a rune on the ground that detonates after 3 seconds.<break><break>WATER: Enemies in the area are slowed and take <damage>{waterdamage}</> on detonation. Players in the area will be healed for <healing>{waterheal}</> every second<break>LIGHTNING: Enemies in the area take {lightning-debuff}% damage and take <damage>{lightningdamage}</> damage on detonation.<break><break>Cooldown: {cooldown} seconds.,control-mage,"{""cooldown"":[{""Time"":1,""Value"":10},{""Time"":6,""Value"":5}],""lightning-debuff"":[{""Time"":1,""Value"":110},{""Time"":6,""Value"":110}],""waterroot1"":[{""Time"":1,""Value"":2},{""Time"":5,""Value"":2},{""Time"":6,""Value"":3}],""waterroot2"":[{""Time"":1,""Value"":0},{""Time"":5,""Value"":8},{""Time"":6,""Value"":0}]}"
finale,Final Bow,"Bow to the audience and deal <damage-sp>{damage} Magic Damage</> to enemies caught in the area of effect.

This damage is increased to <damage-sp>{enhanceddamage} Magic Damage</> if you have 5 performance stacks.

Cooldown: <time>{cooldown} seconds</>",dancer-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":120},{""Time"":3,""Value"":80},{""Time"":6,""Value"":80},{""Time"":7,""Value"":0},{""Time"":15,""Value"":0}]}"
graceful-dash,Graceful Dash,"Dash towards a target location, dealing <damage-wp>{damage} Physical Damage</> to enemies hit.

For the next 2 seconds, this ability can be <red>Recast</> to dash a second time.

Hitting at least one enemy with both dashes will activate Encore.

Cooldown: <time>{cooldown} seconds</>",dancer-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":8},{""Time"":2,""Value"":8},{""Time"":3,""Value"":7},{""Time"":4,""Value"":7},{""Time"":5,""Value"":6},{""Time"":6,""Value"":6},{""Time"":7,""Value"":0},{""Time"":15,""Value"":0}]}"
dancer-d-p-s-passive,Passive: Encore & Captivate,"Encore: Each of Dancer's basic abilities has an Encore condition that, when met, allows her to <red>Recast</> that ability within 4 seconds.
<red>Recast</> via Encore up to two additional times.

Captivate: For each ability cast, gain a Performance stack.

At 5 Performance stacks, the next ability will captivate any opponents that are hit, <yellow>Stunning</> them for 1 second.",dancer-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":1},{""Time"":6,""Value"":1}],""damage"":null}"
take-flight,Flying Jeté,"Suspend yourself in the air, becoming untargetable and allowing you to reposition for up to 2 seconds.

After 2 seconds or on <red>Recast</>, leap down to the ground, dealing <damage-sp>{aoedamage} Magic Damage</> to enemies hit.

Hitting a single target deals <damage-sp>{singledamage} Magic Damage</> instead.

Executing an enemy with Flying Jeté will activate Encore.

Cooldown: <time>{cooldown} seconds</>",dancer-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":10},{""Time"":2,""Value"":10},{""Time"":3,""Value"":9},{""Time"":4,""Value"":9},{""Time"":5,""Value"":8},{""Time"":6,""Value"":8},{""Time"":7,""Value"":0},{""Time"":15,""Value"":0}]}"
twirl,Pirouette,"Twirl in a deadly circle, dealing <damage-wp>{damage} Physical Damage</> to enemies hit.

Hitting 3 or more enemies with Twirl will activate Encore.

Cooldown: <time>{cooldown} seconds</>",dancer-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":6},{""Time"":2,""Value"":6},{""Time"":3,""Value"":5},{""Time"":4,""Value"":5},{""Time"":5,""Value"":4},{""Time"":6,""Value"":4},{""Time"":7,""Value"":0},{""Time"":15,""Value"":0}]}"
cryo-grenade,Cryo Grenade,"Toss a device across multiple dimensions, freezing all players from opposing team in that area for 4 sec

Proximity to the Evercore prevent the usage of this device

3 Charge",general-meta,"{""extramomentum"":[{""Time"":1,""Value"":5},{""Time"":2,""Value"":8},{""Time"":5,""Value"":20}]}"
health-potion,Healing Potion,"Drink an invigorating potion, healing you for 40% of your Max Health immediately

5 Charges",general-meta,"{""extramomentum"":[{""Time"":1,""Value"":5},{""Time"":2,""Value"":8},{""Time"":5,""Value"":20}]}"
lightninig-in-a-bottle,Lightning in a Bottle,"Call down a Lightning Storm that will affect this area for yours and all Opposing teams for 30 sec

Using the bottle in an active Storm area will extend it's duration by 20 sec
Proximity to the Evercore prevent the usage of this device

1 Charge",general-meta,"{""extramomentum"":[{""Time"":1,""Value"":5},{""Time"":2,""Value"":8},{""Time"":5,""Value"":20}]}"
consumable-recall-device,Recall Device,"Teleport you back to your Evercore after a 2 second casting time

3 Charges",general-meta,
speed-potion,Speed Potion,"Drink an energizing potion, granting you 50% extra movement speed for 6 seconds

5 Charges",general-meta,"{""extramomentum"":[{""Time"":1,""Value"":5},{""Time"":2,""Value"":8},{""Time"":5,""Value"":20}]}"
consumable-stun-grenade,Stun Grenade,"Throw a concussive grenade, stunning all enemies in the are for <time>3 sec</>

3 Charges ",general-meta,
collect-bounty,Collect Bounty,"Activate to fire <damage-wp>3 shots</> over 1.5 seconds that each deal <damage-wp>{damage} Physical Damage</>. Gun DPS prioritises any marked targets first and then the closest target if no marked targets are in range

Cooldown: <time>{cooldown} seconds</>",gun-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":120},{""Time"":4,""Value"":60},{""Time"":6,""Value"":60}]}"
headshot,Headshot,"Fire a shot towards a target location, dealing <damage-wp>{damage} Physical Damage</> to the first enemy hit. This hit will always be a critical hit.

Cooldown: <time>{cooldown} seconds</>",gun-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":6},{""Time"":2,""Value"":6},{""Time"":3,""Value"":5},{""Time"":4,""Value"":5},{""Time"":5,""Value"":4},{""Time"":6,""Value"":4}]}"
marking-shot,Marking Shot,"Fire a shot which deals <damage-wp> {damage} Physical Damage</>, applies a {slow}% Slow and applies Headhunt to the target.

Cooldown: <time>{cooldown} seconds</>",gun-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":8},{""Time"":2,""Value"":8},{""Time"":3,""Value"":7},{""Time"":4,""Value"":7},{""Time"":5,""Value"":6},{""Time"":6,""Value"":6}],""slow"":[{""Time"":1,""Value"":60},{""Time"":5,""Value"":80},{""Time"":6,""Value"":80}]}"
gun-d-p-s-passive,Headhunt,Mark the highest health nearby enemy. Marked enemies take <damage-wp>20% bonus damage</> from Gun DPS's abilities and auto-attacks.,gun-d-p-s,
vault,Vault,"Dash onto a target and leap to the other side of them, landing at max auto-attack range. While leaping to the end location, fire two shots into the target, each doing <damage-wp>{damage} Physical Damage</>.

Cooldown: <time>{cooldown} seconds</>",gun-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":10},{""Time"":2,""Value"":10},{""Time"":3,""Value"":9},{""Time"":4,""Value"":9},{""Time"":5,""Value"":8},{""Time"":6,""Value"":8}]}"
effigy-of-life,Miracle,"The miraluum in Spirit Healer's lantern creates an area that <health>Heals</> nearby allies for <health>{healing}</> every 2 seconds for 8 seconds.

Cost: <mana>150 Mana</>
Cooldown: <time>{cooldown} seconds</>",ho-t-healer,"{""cooldown"":[{""Time"":1,""Value"":120},{""Time"":3,""Value"":80},{""Time"":6,""Value"":80}]}"
harmonize,Harmonize,"Target an ally to remove crowd control effects from them, or target an enemy to <yellow>Confuse</> it for {duration1}.{duration2} seconds.

Cost: <mana>100 Mana</>
Cooldown: <time>{cooldown} seconds</>",ho-t-healer,"{""cooldown"":[{""Time"":1,""Value"":12},{""Time"":2,""Value"":12},{""Time"":3,""Value"":11},{""Time"":4,""Value"":11},{""Time"":5,""Value"":10},{""Time"":6,""Value"":10}],""duration1"":[{""Time"":1,""Value"":2},{""Time"":2,""Value"":2},{""Time"":3,""Value"":3},{""Time"":4,""Value"":3},{""Time"":5,""Value"":4},{""Time"":6,""Value"":4}],""duration2"":[{""Time"":1,""Value"":0},{""Time"":2,""Value"":5},{""Time"":3,""Value"":0},{""Time"":4,""Value"":5},{""Time"":5,""Value"":0},{""Time"":6,""Value"":5}]}"
health-sprout,Health Sprout,"Restore <health>{heal} Health</> to an ally each second for 8 seconds.

When used on an ally that has Imbue Life or Health Sprout, it consumes the ability and <health>Heals</> for 120% of the remaining heal.

Cost: <mana>120 Mana</>
Cooldown: <time>{cooldown} seconds</>",ho-t-healer,"{""cooldown"":[{""Time"":1,""Value"":160},{""Time"":3,""Value"":200},{""Time"":5,""Value"":280},{""Time"":6,""Value"":340}]}"
imbue-life,Imbue Life,"Apply an initial <health>Heal</> of <health>{instantheal}</> to a target ally, plus an additional <health>{heal}</> each second for 8 seconds.

Cost: <mana>80 Mana</>
Cooldown: <time>{cooldown} second</>",ho-t-healer,"{""cooldown"":[{""Time"":1,""Value"":3},{""Time"":6,""Value"":3}]}"
spell-healer-passive,Passive: Clearcast,Auto-attacks have a chance to make the next Imbue Life instant and free to cast.,ho-t-healer,"{""cooldown"":[{""Time"":1,""Value"":1},{""Time"":6,""Value"":1}],""damage"":null}"
mage-tank-passive,Passive: Shield Mark,"Enemies that are hit by MageTank are <red>MARKED</> for <time>{duration} seconds</>.

Any damage received by marked enemies builds Mage Tank's <shield>Shield</> up to <shield>{overshield-max}% of his max Health</>.",mage-tank,"{""duration"":[{""Time"":1,""Value"":3},{""Time"":6,""Value"":3}],""overshield-max"":[{""Time"":1,""Value"":30},{""Time"":3,""Value"":30},{""Time"":4,""Value"":40},{""Time"":6,""Value"":40}],""overshield-per-attack"":[{""Time"":1,""Value"":20},{""Time"":6,""Value"":20}]}"
mage-tank-warp,Gravity Warp,"Launch a magic orb that damages all enemies it passes through for  <damage-sp>{warp-overlap-damage} Magical Damage</>.

On termination, the shot pulls in nearby enemies and applies <yellow>Stun</>.

<red>Recast</> to terminate the projectile early.

Cost: <mana>{cost} Mana</>
Cooldown: <time>{cooldown} seconds</>",mage-tank,"{"""":null,""cooldown"":[{""Time"":1,""Value"":12},{""Time"":2,""Value"":10},{""Time"":4,""Value"":8},{""Time"":6,""Value"":8}],""cost"":[{""Time"":1,""Value"":100},{""Time"":6,""Value"":100}]}"
mage-tank-chaos,Chaotic Nightmare,"Open a vortex of pure chaos at your feet, dealing <damage-sp>{chaos-damage} Magical Damage</> to all surrounding enemies and applying <yellow>Confusion</>.

Confused enemies will attack each other for <time>{duration} seconds</>.

Cost: <mana>{cost} Mana</>
Cooldown: <time>{cooldown} seconds</>",mage-tank,"{""chaos-damage"":[{""Time"":1,""Value"":155},{""Time"":2,""Value"":215},{""Time"":3,""Value"":340},{""Time"":6,""Value"":340}],""cooldown"":[{""Time"":1,""Value"":80},{""Time"":6,""Value"":80}],""cost"":[{""Time"":1,""Value"":150},{""Time"":6,""Value"":150}],""duration"":[{""Time"":1,""Value"":8},{""Time"":6,""Value"":13}]}"
mage-tank-have-a-shield,Overshield,"Grant all of your <defense>Shield</> to an ally and gain a <mana>25%</> of the amount back as <mana>Mana</>.

Enemies that break the ally's <defense>Shield</> will have <yellow>Confusion</> applied to them

Cost: <mana>{cost} Mana</>
Cooldown: <time>{cooldown} seconds</>",mage-tank,"{""cooldown"":[{""Time"":1,""Value"":6},{""Time"":2,""Value"":6},{""Time"":3,""Value"":5},{""Time"":4,""Value"":5},{""Time"":5,""Value"":4},{""Time"":6,""Value"":4}],""cost"":[{""Time"":1,""Value"":40},{""Time"":6,""Value"":40}]}"
blossom,Blossom,"Plant a seed in the ground which blooms after 1.5 seconds, <health>Healing</> allies for <damage-wp>{healing}</> and granting them a Seed of Light.

Cooldown: <time>{cooldown} seconds</>",melee-healer,"{""cooldown"":[{""Time"":1,""Value"":5},{""Time"":6,""Value"":5}]}"
luminous-bulwark,Spirit of Alacrity,"Grant yourself and allies with a Seed of Light <damage-wp>{shield} Shield</>, <yellow>Stun Immunity</> and <attackspeed>{atkspdincrease}% Attack Speed</> for {duration} seconds.

Cooldown: <time>{cooldown} seconds</>",melee-healer,"{""atkspdincrease"":[{""Time"":1,""Value"":15},{""Time"":6,""Value"":40}],""cooldown"":[{""Time"":1,""Value"":60},{""Time"":4,""Value"":45},{""Time"":6,""Value"":45}],""duration"":[{""Time"":1,""Value"":15},{""Time"":6,""Value"":15}]}"
melee-healer-passive,Passive: Seed of Light,"Using healing abilities on an ally grants them a Seed of Light.

Battle Mender's auto-attacks will <health>Heal</> any ally with a Seed of Light for <health>{heal-ratio}%</> of the damage dealt.",melee-healer,"{""heal-ratio"":[{""Time"":1,""Value"":20},{""Time"":6,""Value"":20}]}"
serrated-petals,Iluminated Petals,"<health>Heal</> all allies in an area around you for <damage-wp>{healing}</>, granting you and them a Seed of Light.

Cooldown: <time>{cooldown} seconds</>",melee-healer,"{""cooldown"":[{""Time"":1,""Value"":3},{""Time"":6,""Value"":3}]}"
shearing-petal,Shearing Slash,"Dash a short distance dealing <damage-wp>{damage} Physical Damage</> to all enemies in range.

This attack will <health>Heal</> all allies with a Seed of Light by <health>{heal-ratio}%</> of all damage dealt.

Cooldown: <time>6 seconds</>",melee-healer,"{""heal-ratio"":[{""Time"":1,""Value"":10},{""Time"":6,""Value"":60}]}"
charge,Charge,"Charge in the target direction, dealing <damage-sp>{damage} Magic Damage</> and <yellow>Taunting</> all enemies in a radius at the end of the charge.

Colliding with an enemy applies an additional <yellow>Stun</> to the target.

Deals <damage-sp>{fullycharged-bonus}% Magic Damage</> if fully charged.

Cooldown: <time>{cooldown} seconds</>",melee-tank,"{""cooldown"":[{""Time"":1,""Value"":8},{""Time"":2,""Value"":8},{""Time"":3,""Value"":7},{""Time"":4,""Value"":7},{""Time"":5,""Value"":6},{""Time"":6,""Value"":6}],""fullycharged-bonus"":[{""Time"":1,""Value"":130},{""Time"":6,""Value"":130}]}"
get-behind-me,Get Behind Me!,"Generate a giant shield in the target direction. While active, it <yellow>Blocks</> enemy projectiles, reduces incoming damage by 30% and slows movement speed by 50%.

Taking damage or blocking projectiles returns <mana>20 Mana</>.

<red>Recast</> or use a different ability to burst the shield, dealing <damage-sp>{damage} Magic Damage</> and <yellow>Taunting</> all enemies hit.

Cooldown: <time>{cooldown} seconds</>",melee-tank,"{""cooldown"":[{""Time"":1,""Value"":9},{""Time"":2,""Value"":9},{""Time"":3,""Value"":8},{""Time"":4,""Value"":8},{""Time"":5,""Value"":7},{""Time"":6,""Value"":7}]}"
guardian-smash,Guardian Smash,"Leap into the air and smash into the ground, sending out a shockwave that taunts all enemies in a wide area.

For 10 seconds, gain <shield>{overshield-self} shield</> for each enemy hit by the shockwave.

Nearby allies gain <shield>{overshield-allies} shield</>.

Cooldown: <time>{cooldown} seconds</>",melee-tank,"{""cooldown"":[{""Time"":1,""Value"":120},{""Time"":3,""Value"":80},{""Time"":6,""Value"":80}],""overshield-allies"":[{""Time"":1,""Value"":250},{""Time"":2,""Value"":550},{""Time"":6,""Value"":1350}],""overshield-self"":[{""Time"":1,""Value"":400},{""Time"":6,""Value"":400}]}"
mana-barrier,Passive: Mana Barrier,"Gain <mana>1 Mana</> for each enemy <yellow>Taunted</> (up to a maximum of 500).

For every <mana>20 Mana</> obtained, gain <defense>1 Armour</> and <spellresist>1 Spell Resistance</>.",melee-tank,
